source,condition,ratio,risk_definition,deferral_rate,accepted_error_rate,expected_cost,n,n_accepted,rank
NEH,2,5,four_class_accuracy,0.0,0.19264417068380646,0.9632208534190323,16803,16803,5
NEH,3,5,four_class_accuracy,0.2544188537761114,0.1151021711366539,0.6835088972207344,16803,12528,2
NEH,4,5,four_class_accuracy,0.3052431113491638,0.1379989720746959,0.7846217937273106,16803,11674,4
NEH,5,5,four_class_accuracy,0.21835386538118193,0.12897822445561138,0.7224305183598168,16803,13134,3
NEH,B2,5,four_class_accuracy,0.33970124382550737,0.10337990085624155,0.6810093435696006,16803,11095,1
NEH,1,10,four_class_accuracy,0.0,0.19264417068380646,1.9264417068380646,16803,16803,6
NEH,2,10,four_class_accuracy,0.3683865976313753,0.16658814661264487,1.4205796583943344,16803,10613,5
NEH,3,10,four_class_accuracy,0.3426769029339999,0.09787234042553192,0.9860144021900851,16803,11045,2
NEH,4,10,four_class_accuracy,0.3052431113491638,0.1379989720746959,1.2640004761054573,16803,11674,4
NEH,5,10,four_class_accuracy,0.30066059632208536,0.12364905114458344,1.165387133250015,16803,11751,3
NEH,B2,10,four_class_accuracy,0.5423436291138487,0.08361508452535761,0.9250133904659882,16803,7690,1
NEH,1,20,four_class_accuracy,0.0,0.19264417068380646,3.852883413676129,16803,16803,6
NEH,2,20,four_class_accuracy,0.508361602094864,0.15203970463624258,2.003332738201512,16803,8261,4
NEH,3,20,four_class_accuracy,0.4249836338749033,0.08890498861519354,1.447420103552937,16803,9662,2
NEH,4,20,four_class_accuracy,0.3052431113491638,0.1379989720746959,2.222757840861751,16803,11674,5
NEH,5,20,four_class_accuracy,0.3623162530500506,0.11413905739617358,1.8180086889245968,16803,10715,3
NEH,B2,20,four_class_accuracy,0.5671606260786765,0.08112195792657775,1.2694161756829139,16803,7273,1
NEH,1,50,four_class_accuracy,0.0,0.19264417068380646,9.632208534190323,16803,16803,6
NEH,2,50,four_class_accuracy,0.5388323513658275,0.14905149051490515,3.975718621674701,16803,7749,4
NEH,3,50,four_class_accuracy,0.50996845801345,0.08003400534369687,2.470927810510028,16803,8234,2
NEH,4,50,four_class_accuracy,0.3052431113491638,0.1379989720746959,5.099029935130631,16803,11674,5
NEH,5,50,four_class_accuracy,0.5830506457180266,0.10291178989437624,2.7285008629411416,16803,7006,3
NEH,B2,50,four_class_accuracy,0.6232815568648455,0.07614533965244866,2.0575492471582457,16803,6330,1
OCTDL-in-label,1,5,four_class_accuracy,0.0,0.09507523939808482,0.47537619699042405,1462,1462,5
OCTDL-in-label,2,5,four_class_accuracy,0.0,0.09507523939808482,0.47537619699042405,1462,1462,5
OCTDL-in-label,3,5,four_class_accuracy,0.11285909712722299,0.06476484194294525,0.40013679890560877,1462,1297,3
OCTDL-in-label,4,5,four_class_accuracy,0.08002735978112176,0.06171003717472119,0.36388508891928867,1462,1345,1
OCTDL-in-label,5,5,four_class_accuracy,0.08618331053351573,0.0718562874251497,0.41450068399452805,1462,1336,4
OCTDL-in-label,B2,5,four_class_accuracy,0.12243502051983585,0.059236165237724084,0.38235294117647056,1462,1283,2
OCTDL-in-label,1,10,four_class_accuracy,0.0,0.09507523939808482,0.9507523939808481,1462,1462,6
OCTDL-in-label,2,10,four_class_accuracy,0.06155950752393981,0.08527696793002916,0.8618331053351573,1462,1372,5
OCTDL-in-label,3,10,four_class_accuracy,0.1484268125854993,0.0570281124497992,0.63406292749658,1462,1245,2
OCTDL-in-label,4,10,four_class_accuracy,0.08002735978112176,0.06171003717472119,0.6477428180574556,1462,1345,3
OCTDL-in-label,5,10,four_class_accuracy,0.09233926128590972,0.06631499623210249,0.6942544459644323,1462,1327,4
OCTDL-in-label,B2,10,four_class_accuracy,0.22982216142270862,0.0452930728241563,0.5786593707250342,1462,1126,1
OCTDL-in-label,1,20,four_class_accuracy,0.0,0.09507523939808482,1.9015047879616962,1462,1462,6
OCTDL-in-label,2,20,four_class_accuracy,0.14774281805745554,0.0754414125200642,1.4336525307797539,1462,1246,5
OCTDL-in-label,3,20,four_class_accuracy,0.18878248974008208,0.049747048903878585,0.9958960328317373,1462,1186,2
OCTDL-in-label,4,20,four_class_accuracy,0.08002735978112176,0.06171003717472119,1.2154582763337893,1462,1345,4
OCTDL-in-label,5,20,four_class_accuracy,0.11285909712722299,0.058596761757902856,1.152530779753762,1462,1297,3
OCTDL-in-label,B2,20,four_class_accuracy,0.2441860465116279,0.04524886877828054,0.9281805745554036,1462,1105,1
OCTDL-in-label,1,50,four_class_accuracy,0.0,0.09507523939808482,4.75376196990424,1462,1462,6
OCTDL-in-label,2,50,four_class_accuracy,0.179890560875513,0.07422852376980818,3.2236662106703147,1462,1199,5
OCTDL-in-label,3,50,four_class_accuracy,0.23050615595075238,0.044444444444444446,1.9404924760601916,1462,1125,2
OCTDL-in-label,4,50,four_class_accuracy,0.08002735978112176,0.06171003717472119,2.9186046511627906,1462,1345,4
OCTDL-in-label,5,50,four_class_accuracy,0.2079343365253078,0.05094991364421416,2.225718194254446,1462,1158,3
OCTDL-in-label,B2,50,four_class_accuracy,0.27975376196990426,0.042735042735042736,1.8187414500683994,1462,1053,1
OCTDL-ambiguous,1,5,missed_disease,0.0,0.0,0.0,248,248,1
OCTDL-ambiguous,2,5,missed_disease,0.0,0.0,0.0,248,248,1
OCTDL-ambiguous,3,5,missed_disease,0.13709677419354838,0.0,0.13709677419354838,248,214,6
OCTDL-ambiguous,4,5,missed_disease,0.09274193548387097,0.0,0.09274193548387097,248,225,3
OCTDL-ambiguous,5,5,missed_disease,0.0967741935483871,0.0,0.0967741935483871,248,224,4
OCTDL-ambiguous,B2,5,missed_disease,0.12903225806451613,0.0,0.12903225806451613,248,216,5
OCTDL-ambiguous,1,10,missed_disease,0.0,0.0,0.0,248,248,1
OCTDL-ambiguous,2,10,missed_disease,0.020161290322580645,0.0,0.020161290322580645,248,243,2
OCTDL-ambiguous,3,10,missed_disease,0.14919354838709678,0.0,0.14919354838709678,248,211,5
OCTDL-ambiguous,4,10,missed_disease,0.09274193548387097,0.0,0.09274193548387097,248,225,3
OCTDL-ambiguous,5,10,missed_disease,0.10887096774193548,0.0,0.10887096774193548,248,221,4
OCTDL-ambiguous,B2,10,missed_disease,0.20161290322580644,0.0,0.20161290322580644,248,198,6
OCTDL-ambiguous,1,20,missed_disease,0.0,0.0,0.0,248,248,1
OCTDL-ambiguous,2,20,missed_disease,0.056451612903225805,0.0,0.056451612903225805,248,234,2
OCTDL-ambiguous,3,20,missed_disease,0.1693548387096774,0.0,0.1693548387096774,248,206,5
OCTDL-ambiguous,4,20,missed_disease,0.09274193548387097,0.0,0.09274193548387097,248,225,3
OCTDL-ambiguous,5,20,missed_disease,0.12096774193548387,0.0,0.12096774193548387,248,218,4
OCTDL-ambiguous,B2,20,missed_disease,0.2056451612903226,0.0,0.2056451612903226,248,197,6
OCTDL-ambiguous,1,50,missed_disease,0.0,0.0,0.0,248,248,1
OCTDL-ambiguous,2,50,missed_disease,0.0846774193548387,0.0,0.0846774193548387,248,227,2
OCTDL-ambiguous,3,50,missed_disease,0.2056451612903226,0.0,0.2056451612903226,248,197,5
OCTDL-ambiguous,4,50,missed_disease,0.09274193548387097,0.0,0.09274193548387097,248,225,3
OCTDL-ambiguous,5,50,missed_disease,0.16129032258064516,0.0,0.16129032258064516,248,208,4
OCTDL-ambiguous,B2,50,missed_disease,0.23790322580645162,0.0,0.23790322580645162,248,189,6
OCTDL-novel-class,1,5,missed_disease,0.0,0.1977401129943503,0.9887005649717514,354,354,5
OCTDL-novel-class,2,5,missed_disease,0.0,0.1977401129943503,0.9887005649717514,354,354,5
OCTDL-novel-class,3,5,missed_disease,0.3559322033898305,0.16666666666666666,0.8926553672316384,354,228,3
OCTDL-novel-class,4,5,missed_disease,0.288135593220339,0.14285714285714285,0.7966101694915254,354,252,1
OCTDL-novel-class,5,5,missed_disease,0.3050847457627119,0.15853658536585366,0.8559322033898306,354,246,2
OCTDL-novel-class,B2,5,missed_disease,0.3898305084745763,0.17592592592592593,0.9265536723163842,354,216,4
OCTDL-novel-class,1,10,missed_disease,0.0,0.1977401129943503,1.9774011299435028,354,354,6
OCTDL-novel-class,2,10,missed_disease,0.11581920903954802,0.1501597444089457,1.4435028248587571,354,313,5
OCTDL-novel-class,3,10,missed_disease,0.4717514124293785,0.1443850267379679,1.234463276836158,354,187,2
OCTDL-novel-class,4,10,missed_disease,0.288135593220339,0.14285714285714285,1.305084745762712,354,252,3
OCTDL-novel-class,5,10,missed_disease,0.3248587570621469,0.15481171548117154,1.3700564971751412,354,239,4
OCTDL-novel-class,B2,10,missed_disease,0.6497175141242938,0.12903225806451613,1.1016949152542372,354,124,1
OCTDL-novel-class,1,20,missed_disease,0.0,0.1977401129943503,3.9548022598870056,354,354,6
OCTDL-novel-class,2,20,missed_disease,0.2853107344632768,0.11857707509881422,1.9802259887005649,354,253,3
OCTDL-novel-class,3,20,missed_disease,0.5480225988700564,0.15,1.9039548022598871,354,160,2
OCTDL-novel-class,4,20,missed_disease,0.288135593220339,0.14285714285714285,2.3220338983050848,354,252,4
OCTDL-novel-class,5,20,missed_disease,0.384180790960452,0.16055045871559634,2.361581920903955,354,218,5
OCTDL-novel-class,B2,20,missed_disease,0.6610169491525424,0.13333333333333333,1.5649717514124293,354,120,1
OCTDL-novel-class,1,50,missed_disease,0.0,0.1977401129943503,9.887005649717514,354,354,6
OCTDL-novel-class,2,50,missed_disease,0.3361581920903955,0.12340425531914893,4.432203389830509,354,235,4
OCTDL-novel-class,3,50,missed_disease,0.6638418079096046,0.14285714285714285,3.0649717514124295,354,119,2
OCTDL-novel-class,4,50,missed_disease,0.288135593220339,0.14285714285714285,5.372881355932203,354,252,5
OCTDL-novel-class,5,50,missed_disease,0.5423728813559322,0.11728395061728394,3.225988700564972,354,162,3
OCTDL-novel-class,B2,50,missed_disease,0.7288135593220338,0.14583333333333334,2.7062146892655368,354,96,1
