source,condition,true_class,predicted_class,count,row_pct
Rasti,3,CNV,CNV,0,
Rasti,3,CNV,DME,0,
Rasti,3,CNV,DRUSEN,0,
Rasti,3,CNV,NORMAL,0,
Rasti,3,CNV,deferred,0,
Rasti,3,DME,CNV,0,0.0
Rasti,3,DME,DME,390,86.67
Rasti,3,DME,DRUSEN,0,0.0
Rasti,3,DME,NORMAL,3,0.67
Rasti,3,DME,deferred,57,12.67
Rasti,3,DRUSEN,CNV,17,3.94
Rasti,3,DRUSEN,DME,4,0.93
Rasti,3,DRUSEN,DRUSEN,79,18.29
Rasti,3,DRUSEN,NORMAL,58,13.43
Rasti,3,DRUSEN,deferred,274,63.43
Rasti,3,NORMAL,CNV,0,0.0
Rasti,3,NORMAL,DME,10,2.22
Rasti,3,NORMAL,DRUSEN,0,0.0
Rasti,3,NORMAL,NORMAL,314,69.78
Rasti,3,NORMAL,deferred,126,28.0
Rasti,4,CNV,CNV,0,
Rasti,4,CNV,DME,0,
Rasti,4,CNV,DRUSEN,0,
Rasti,4,CNV,NORMAL,0,
Rasti,4,CNV,deferred,0,
Rasti,4,DME,CNV,3,0.67
Rasti,4,DME,DME,418,92.89
Rasti,4,DME,DRUSEN,0,0.0
Rasti,4,DME,NORMAL,14,3.11
Rasti,4,DME,deferred,15,3.33
Rasti,4,DRUSEN,CNV,29,6.71
Rasti,4,DRUSEN,DME,17,3.94
Rasti,4,DRUSEN,DRUSEN,151,34.95
Rasti,4,DRUSEN,NORMAL,82,18.98
Rasti,4,DRUSEN,deferred,153,35.42
Rasti,4,NORMAL,CNV,0,0.0
Rasti,4,NORMAL,DME,27,6.0
Rasti,4,NORMAL,DRUSEN,0,0.0
Rasti,4,NORMAL,NORMAL,380,84.44
Rasti,4,NORMAL,deferred,43,9.56
Rasti,5,CNV,CNV,0,
Rasti,5,CNV,DME,0,
Rasti,5,CNV,DRUSEN,0,
Rasti,5,CNV,NORMAL,0,
Rasti,5,CNV,deferred,0,
Rasti,5,DME,CNV,3,0.67
Rasti,5,DME,DME,406,90.22
Rasti,5,DME,DRUSEN,0,0.0
Rasti,5,DME,NORMAL,6,1.33
Rasti,5,DME,deferred,35,7.78
Rasti,5,DRUSEN,CNV,25,5.79
Rasti,5,DRUSEN,DME,10,2.31
Rasti,5,DRUSEN,DRUSEN,114,26.39
Rasti,5,DRUSEN,NORMAL,62,14.35
Rasti,5,DRUSEN,deferred,221,51.16
Rasti,5,NORMAL,CNV,0,0.0
Rasti,5,NORMAL,DME,19,4.22
Rasti,5,NORMAL,DRUSEN,0,0.0
Rasti,5,NORMAL,NORMAL,349,77.56
Rasti,5,NORMAL,deferred,82,18.22
Rasti,B2,CNV,CNV,0,
Rasti,B2,CNV,DME,0,
Rasti,B2,CNV,DRUSEN,0,
Rasti,B2,CNV,NORMAL,0,
Rasti,B2,CNV,deferred,0,
Rasti,B2,DME,CNV,1,0.22
Rasti,B2,DME,DME,333,74.0
Rasti,B2,DME,DRUSEN,0,0.0
Rasti,B2,DME,NORMAL,0,0.0
Rasti,B2,DME,deferred,116,25.78
Rasti,B2,DRUSEN,CNV,19,4.4
Rasti,B2,DRUSEN,DME,2,0.46
Rasti,B2,DRUSEN,DRUSEN,43,9.95
Rasti,B2,DRUSEN,NORMAL,40,9.26
Rasti,B2,DRUSEN,deferred,328,75.93
Rasti,B2,NORMAL,CNV,0,0.0
Rasti,B2,NORMAL,DME,0,0.0
Rasti,B2,NORMAL,DRUSEN,0,0.0
Rasti,B2,NORMAL,NORMAL,269,59.78
Rasti,B2,NORMAL,deferred,181,40.22
NEH,1,CNV,CNV,3009,93.04
NEH,1,CNV,DME,66,2.04
NEH,1,CNV,DRUSEN,87,2.69
NEH,1,CNV,NORMAL,72,2.23
