source,condition,risk_definition,n,base_error,augrc_window,augrc_window_x1000,augrc_window_ratio_vs_random,rank_augrc_window,augrc_x1000,rank_augrc
RETOUCH-Topcon,B2,missed_disease,324,0.10802469135802473,0.07251181222374567,72.51181222374566,0.8390652557319138,2,38.766003657978494,1
Rasti,2,four_class_accuracy,1332,0.21996996996996998,0.12729875145415687,127.29875145415687,0.7233871029732803,5,65.83413368323278,4
Rasti,3,four_class_accuracy,1332,0.21996996996996998,0.11871308245182119,118.7130824518212,0.674598233045332,2,59.394980566151744,1
Rasti,4,four_class_accuracy,1332,0.21996996996996998,0.12601109665354082,126.01109665354082,0.716069883713807,4,81.55593656720069,5
Rasti,5,four_class_accuracy,1332,0.21996996996996998,0.11355837819801783,113.55837819801782,0.645306142319794,1,62.432646610574544,2
Rasti,B2,four_class_accuracy,1332,0.21996996996996998,0.12046567964360672,120.46567964360672,0.6845575310805636,3,65.00813876939932,3
NEH,2,four_class_accuracy,16803,0.19264417068380646,0.14132604180148822,141.32604180148823,0.9170147823565055,5,83.74406655468638,5
NEH,3,four_class_accuracy,16803,0.19264417068380646,0.10461341677674374,104.61341677674373,0.6787995219723606,2,57.03823530519103,1
NEH,4,four_class_accuracy,16803,0.19264417068380646,0.12965153442269928,129.65153442269929,0.8412630262992802,4,77.63299105660377,4
NEH,5,four_class_accuracy,16803,0.19264417068380646,0.11175191194199631,111.75191194199631,0.7251186964633008,3,66.69828767119526,3
NEH,B2,four_class_accuracy,16803,0.19264417068380646,0.10457480129978701,104.57480129978701,0.6785489597776958,1,57.93540458402877,2
OCTDL-in-label,2,four_class_accuracy,1462,0.09507523939808482,0.05646299973239064,56.46299973239064,0.7423462734600279,5,28.98017445135405,4
OCTDL-in-label,3,four_class_accuracy,1462,0.09507523939808482,0.039522485735298804,39.5224857352988,0.5196211703687665,1,21.155408048117334,1
OCTDL-in-label,4,four_class_accuracy,1462,0.09507523939808482,0.04944633622380095,49.44633622380095,0.6500948161798289,4,32.47780994496119,5
OCTDL-in-label,5,four_class_accuracy,1462,0.09507523939808482,0.04153863212322756,41.53863212322756,0.5461284187424342,3,23.929281889958283,3
OCTDL-in-label,B2,four_class_accuracy,1462,0.09507523939808482,0.039851383240921995,39.851383240922,0.5239453444085247,2,23.78845948712856,2
OCTDL-ambiguous,2,missed_disease,248,0.0,0.0,0.0,undefined (0 errors),,0.0,1
OCTDL-ambiguous,3,missed_disease,248,0.0,0.0,0.0,undefined (0 errors),,0.0,1
OCTDL-ambiguous,4,missed_disease,248,0.0,0.0,0.0,undefined (0 errors),,0.0,1
OCTDL-ambiguous,5,missed_disease,248,0.0,0.0,0.0,undefined (0 errors),,0.0,1
OCTDL-ambiguous,B2,missed_disease,248,0.0,0.0,0.0,undefined (0 errors),,0.0,1
OCTDL-novel-class,2,missed_disease,354,0.19774011299435024,0.1067261961760669,106.7261961760669,0.6746620258272802,1,65.37872258929427,1
OCTDL-novel-class,3,missed_disease,354,0.19774011299435024,0.13998531711832485,139.98531711832484,0.8849071832122679,4,82.31191547767244,4
OCTDL-novel-class,4,missed_disease,354,0.19774011299435024,0.13176924956478184,131.76924956478183,0.8329698990345138,3,80.4685754412827,3
OCTDL-novel-class,5,missed_disease,354,0.19774011299435024,0.13044224201219318,130.4422420121932,0.8245813155770784,2,79.28756104567653,2
OCTDL-novel-class,B2,missed_disease,354,0.19774011299435024,0.15131587347186312,151.3158734718631,0.9565324858757063,5,88.87532318299337,5
