condition,coverage,risk
3,0.03,0.0
3,0.04,0.0
3,0.05,0.0
3,0.06,0.0
3,0.07,0.0
3,0.08,0.0
3,0.09,0.0
3,0.1,0.0
3,0.11,0.0
3,0.12,0.0
3,0.13,0.0
3,0.14,0.0
3,0.15,0.0
3,0.16,0.0
3,0.17,0.0
3,0.18,0.0
3,0.19,0.0
3,0.2,0.0
3,0.21,0.0
3,0.22,0.0
3,0.23,0.0
3,0.24,0.0
3,0.25,0.0
3,0.26,0.0
3,0.27,0.0
3,0.28,0.0
3,0.29,0.0
3,0.3,0.0
3,0.31,0.0
3,0.32,0.0
3,0.33,0.0
3,0.34,0.0
3,0.35000000000000003,0.0
3,0.36,0.0
3,0.37,0.0
3,0.38,0.0
3,0.39,0.0
3,0.4,0.0
3,0.41000000000000003,0.0
3,0.42,0.0
3,0.43,0.0
3,0.44,0.0
3,0.45,0.0
3,0.46,0.0
3,0.47000000000000003,0.0
3,0.48,0.0
3,0.49,0.0
3,0.5,0.0
3,0.51,0.0
3,0.52,0.0
3,0.53,0.0
3,0.54,0.0
3,0.55,0.0
3,0.56,0.0
3,0.5700000000000001,0.0
3,0.58,0.0
3,0.59,0.0
3,0.6,0.0
3,0.61,0.0
3,0.62,0.0
3,0.63,0.0
3,0.64,0.0
3,0.65,0.0
3,0.66,0.0
3,0.67,0.0
3,0.68,0.0
3,0.6900000000000001,0.0
3,0.7000000000000001,0.0
3,0.71,0.0
3,0.72,0.0
3,0.73,0.0002739726027397582
3,0.74,0.0002702702702702675
3,0.75,0.0002666666666666373
3,0.76,0.000263157894736854
3,0.77,0.0005194805194804752
3,0.78,0.0005128205128205332
3,0.79,0.0007594936708861244
3,0.8,0.0010000000000000009
3,0.81,0.0009876543209876854
3,0.8200000000000001,0.001219512195121952
3,0.8300000000000001,0.0016867469879517925
3,0.84,0.0019047619047618536
3,0.85,0.0023529411764705577
3,0.86,0.0027906976744186407
3,0.87,0.003218390804597737
3,0.88,0.003409090909090917
3,0.89,0.004044943820224689
3,0.9,0.004444444444444473
3,0.91,0.005054945054945081
3,0.92,0.005434782608695676
3,0.93,0.006236559139784936
3,0.9400000000000001,0.007872340425531863
3,0.9500000000000001,0.010105263157894727
3,0.96,0.011041666666666616
3,0.97,0.014432989690721598
3,0.98,0.017142857142857126
3,0.99,0.018989898989899
3,1.0,0.02200000000000002
4,0.0,0.0
4,0.01,0.040000000000000036
4,0.02,0.040000000000000036
4,0.03,0.053333333333333344
4,0.04,0.04500000000000004
4,0.05,0.04400000000000004
4,0.06,0.040000000000000036
4,0.07,0.03428571428571425
4,0.08,0.03500000000000003
4,0.09,0.03111111111111109
4,0.1,0.028000000000000025
4,0.11,0.025454545454545507
4,0.12,0.023333333333333317
4,0.13,0.021538461538461506
4,0.14,0.020000000000000018
4,0.15,0.020000000000000018
4,0.16,0.018750000000000044
4,0.17,0.020000000000000018
4,0.18,0.018888888888888844
4,0.19,0.0189473684210526
4,0.2,0.020000000000000018
4,0.21,0.02190476190476187
4,0.22,0.022727272727272707
4,0.23,0.02347826086956517
4,0.24,0.022499999999999964
4,0.25,0.0232
4,0.26,0.023076923076923106
4,0.27,0.022962962962962963
4,0.28,0.02285714285714291
4,0.29,0.022068965517241357
4,0.3,0.022666666666666613
4,0.31,0.021935483870967776
4,0.32,0.02124999999999999
4,0.33,0.020606060606060628
4,0.34,0.020588235294117685
4,0.35000000000000003,0.020000000000000014
4,0.36,0.019444444444444486
4,0.37,0.019459459459459483
4,0.38,0.01947368421052631
4,0.39,0.01897435897435895
4,0.4,0.01849999999999996
4,0.41000000000000003,0.01804878048780489
4,0.42,0.017619047619047645
4,0.43,0.017209302325581377
4,0.44,0.016818181818181843
4,0.45,0.016444444444444484
4,0.46,0.016521739130434754
4,0.47000000000000003,0.016595744680851007
4,0.48,0.016249999999999987
4,0.49,0.01632653061224487
4,0.5,0.016000000000000014
4,0.51,0.01607843137254905
4,0.52,0.016153846153846185
4,0.53,0.01622641509433964
4,0.54,0.0159259259259259
4,0.55,0.01563636363636367
4,0.56,0.015357142857142847
4,0.5700000000000001,0.015438596491228026
4,0.58,0.01586206896551723
4,0.59,0.01627118644067793
4,0.6,0.01633333333333331
4,0.61,0.016721311475409784
4,0.62,0.016451612903225832
4,0.63,0.016825396825396854
4,0.64,0.016562500000000036
4,0.65,0.016615384615384587
4,0.66,0.016363636363636358
4,0.67,0.017014925373134315
4,0.68,0.017058823529411793
4,0.6900000000000001,0.01681159420289857
4,0.7000000000000001,0.0168571428571429
4,0.71,0.016901408450704203
4,0.72,0.01694444444444443
4,0.73,0.01698630136986301
4,0.74,0.017027027027027075
4,0.75,0.016800000000000037
4,0.76,0.016578947368421026
4,0.77,0.01662337662337665
4,0.78,0.01666666666666672
4,0.79,0.016455696202531622
4,0.8,0.016249999999999987
4,0.81,0.016296296296296253
4,0.8200000000000001,0.016341463414634157
4,0.8300000000000001,0.016385542168674713
4,0.84,0.01666666666666672
4,0.85,0.016941176470588237
4,0.86,0.016744186046511622
4,0.87,0.01678160919540228
4,0.88,0.0165909090909091
4,0.89,0.016629213483146055
4,0.9,0.016888888888888842
4,0.91,0.016703296703296733
4,0.92,0.016521739130434754
4,0.93,0.01634408602150539
4,0.9400000000000001,0.016382978723404214
4,0.9500000000000001,0.016421052631579
4,0.96,0.016458333333333353
4,0.97,0.016494845360824795
4,0.98,0.0189795918367347
4,0.99,0.020404040404040424
4,1.0,0.02200000000000002
5,0.0,0.0
5,0.01,0.0
5,0.02,0.0
5,0.03,0.0
5,0.04,0.0
5,0.05,0.0
5,0.06,0.0
5,0.07,0.0
5,0.08,0.0
5,0.09,0.0
5,0.1,0.0
5,0.11,0.0
5,0.12,0.0
5,0.13,0.0
5,0.14,0.0
5,0.15,0.0
5,0.16,0.0
5,0.17,0.0
5,0.18,0.0
5,0.19,0.0
5,0.2,0.0
5,0.21,0.0009523809523809268
5,0.22,0.0009090909090908594
5,0.23,0.0008695652173913437
5,0.24,0.0008333333333333526
5,0.25,0.0008000000000000229
5,0.26,0.0007692307692307443
5,0.27,0.0007407407407407085
5,0.28,0.0007142857142856673
5,0.29,0.0006896551724138167
5,0.3,0.0006666666666667043
5,0.31,0.000645161290322549
5,0.32,0.0006249999999999867
5,0.33,0.00060606060606061
5,0.34,0.0011764705882353343
5,0.35000000000000003,0.001142857142857112
5,0.36,0.0011111111111110628
5,0.37,0.00108108108108107
5,0.38,0.001052631578947416
5,0.39,0.0010256410256410664
5,0.4,0.0010000000000000009
5,0.41000000000000003,0.0009756097560975617
5,0.42,0.0009523809523809268
5,0.43,0.0009302325581395099
5,0.44,0.0009090909090908594
5,0.45,0.000888888888888939
5,0.46,0.0008695652173913437
5,0.47000000000000003,0.0008510638297872796
5,0.48,0.0008333333333333526
5,0.49,0.001224489795918382
5,0.5,0.0011999999999999789
5,0.51,0.0011764705882353343
5,0.52,0.001153846153846172
5,0.53,0.0011320754716981352
5,0.54,0.0011111111111110628
5,0.55,0.0010909090909091423
5,0.56,0.001071428571428612
5,0.5700000000000001,0.0010526315789474159
5,0.58,0.001034482758620725
5,0.59,0.0010169491525423568
5,0.6,0.0010000000000000009
5,0.61,0.0009836065573770592
5,0.62,0.000967741935483879
5,0.63,0.0009523809523809268
5,0.64,0.0009375000000000355
5,0.65,0.0009230769230769154
5,0.66,0.0009090909090908594
5,0.67,0.0008955223880596774
5,0.68,0.0014705882352941124
5,0.6900000000000001,0.001449275362318869
5,0.7000000000000001,0.001714285714285668
5,0.71,0.0016901408450704647
5,0.72,0.0019444444444444153
5,0.73,0.0021917808219178436
5,0.74,0.00216216216216214
5,0.75,0.0021333333333333204
5,0.76,0.0026315789473684292
5,0.77,0.0028571428571428914
5,0.78,0.0033333333333332993
5,0.79,0.0037974683544304
5,0.8,0.0040000000000000036
5,0.81,0.004197530864197496
5,0.8200000000000001,0.005121951219512199
5,0.8300000000000001,0.005060240963855377
5,0.84,0.0050000000000000044
5,0.85,0.004941176470588227
5,0.86,0.005116279069767415
5,0.87,0.005057471264367841
5,0.88,0.0050000000000000044
5,0.89,0.005168539325842714
5,0.9,0.005333333333333301
5,0.91,0.006153846153846176
5,0.92,0.007391304347826089
5,0.93,0.007526881720430145
5,0.9400000000000001,0.008510638297872351
5,0.9500000000000001,0.009684210526315738
5,0.96,0.0122916666666667
5,0.97,0.014432989690721598
5,0.98,0.01632653061224487
5,0.99,0.019191919191919204
5,1.0,0.02200000000000002
B2,0.0,0.0
B2,0.01,0.020000000000000018
B2,0.02,0.030000000000000027
B2,0.03,0.020000000000000018
B2,0.04,0.015000000000000013
B2,0.05,0.01200000000000001
B2,0.06,0.010000000000000009
B2,0.07,0.008571428571428563
B2,0.08,0.007499999999999951
B2,0.09,0.00666666666666671
B2,0.1,0.006000000000000005
B2,0.11,0.00545454545454549
B2,0.12,0.0050000000000000044
B2,0.13,0.004615384615384577
B2,0.14,0.004285714285714337
B2,0.15,0.005333333333333301
B2,0.16,0.0050000000000000044
B2,0.17,0.004705882352941226
B2,0.18,0.004444444444444473
B2,0.19,0.004210526315789442
B2,0.2,0.0040000000000000036
B2,0.21,0.003809523809523818
B2,0.22,0.0036363636363636598
B2,0.23,0.003478260869565264
B2,0.24,0.0033333333333332993
B2,0.25,0.0031999999999999806
B2,0.26,0.003076923076923088
B2,0.27,0.002962962962962945
B2,0.28,0.0028571428571428914
B2,0.29,0.0027586206896551557
B2,0.3,0.002666666666666706
B2,0.31,0.002580645161290307
B2,0.32,0.0024999999999999467
B2,0.33,0.00242424242424244
B2,0.34,0.0023529411764705577
B2,0.35000000000000003,0.002285714285714335
B2,0.36,0.0022222222222222365
B2,0.37,0.00216216216216214
B2,0.38,0.002105263157894721
B2,0.39,0.002051282051282022
B2,0.4,0.0020000000000000018
B2,0.41000000000000003,0.0019512195121951235
B2,0.42,0.0019047619047618536
B2,0.43,0.0018604651162790198
B2,0.44,0.0018181818181818299
B2,0.45,0.001777777777777767
B2,0.46,0.0017391304347825765
B2,0.47000000000000003,0.0017021276595744481
B2,0.48,0.0016666666666667052
B2,0.49,0.0016326530612245094
B2,0.5,0.0016000000000000458
B2,0.51,0.0015686274509804088
B2,0.52,0.0015384615384614886
B2,0.53,0.0015094339622641062
B2,0.54,0.001481481481481528
B2,0.55,0.0014545454545454861
B2,0.56,0.0014285714285714457
B2,0.5700000000000001,0.001403508771929851
B2,0.58,0.0013793103448276334
B2,0.59,0.0013559322033898091
B2,0.6,0.0013333333333332975
B2,0.61,0.0013114754098361159
B2,0.62,0.001290322580645209
B2,0.63,0.0012698412698413097
B2,0.64,0.0012499999999999734
B2,0.65,0.0015384615384614886
B2,0.66,0.0015151515151514694
B2,0.67,0.0014925373134327957
B2,0.68,0.0014705882352941124
B2,0.6900000000000001,0.001449275362318869
B2,0.7000000000000001,0.001714285714285668
B2,0.71,0.001971830985915468
B2,0.72,0.0019444444444444153
B2,0.73,0.0019178082191780854
B2,0.74,0.0018918918918918726
B2,0.75,0.0018666666666666831
B2,0.76,0.0018421052631578672
B2,0.77,0.0018181818181818299
B2,0.78,0.002051282051282022
B2,0.79,0.0025316455696202667
B2,0.8,0.0024999999999999467
B2,0.81,0.0024691358024691024
B2,0.8200000000000001,0.002439024390243904
B2,0.8300000000000001,0.0026506024096385468
B2,0.84,0.0028571428571428914
B2,0.85,0.002823529411764669
B2,0.86,0.0030232558139534627
B2,0.87,0.0034482758620689724
B2,0.88,0.004090909090909145
B2,0.89,0.004269662921348338
B2,0.9,0.004222222222222238
B2,0.91,0.004835164835164885
B2,0.92,0.0050000000000000044
B2,0.93,0.00602150537634405
B2,0.9400000000000001,0.007659574468085072
B2,0.9500000000000001,0.00926315789473686
B2,0.96,0.010208333333333375
B2,0.97,0.011958762886597918
B2,0.98,0.01510204081632649
B2,0.99,0.017979797979797985
B2,1.0,0.02200000000000002
