source,condition,ratio,risk_definition,deferral_rate,accepted_error_rate,expected_cost,n,n_accepted,relative_cost
OCTDL-in-label,5,20,four_class_accuracy,0.11285909712722299,0.058596761757902856,1.152530779753762,1462,1297,0.6061151079136692
OCTDL-in-label,B2,20,four_class_accuracy,0.2441860465116279,0.04524886877828054,0.9281805745554036,1462,1105,0.4881294964028777
OCTDL-ambiguous,1,20,missed_disease,0.0,0.0,0.0,248,248,undefined (zero baseline cost)
OCTDL-ambiguous,2,20,missed_disease,0.056451612903225805,0.0,0.056451612903225805,248,234,undefined (zero baseline cost)
OCTDL-ambiguous,3,20,missed_disease,0.1693548387096774,0.0,0.1693548387096774,248,206,undefined (zero baseline cost)
OCTDL-ambiguous,4,20,missed_disease,0.09274193548387097,0.0,0.09274193548387097,248,225,undefined (zero baseline cost)
OCTDL-ambiguous,5,20,missed_disease,0.12096774193548387,0.0,0.12096774193548387,248,218,undefined (zero baseline cost)
OCTDL-ambiguous,B2,20,missed_disease,0.2056451612903226,0.0,0.2056451612903226,248,197,undefined (zero baseline cost)
OCTDL-novel-class,1,20,missed_disease,0.0,0.1977401129943503,3.9548022598870056,354,354,1.0
OCTDL-novel-class,2,20,missed_disease,0.2853107344632768,0.11857707509881422,1.9802259887005649,354,253,0.5007142857142857
OCTDL-novel-class,3,20,missed_disease,0.5480225988700564,0.15,1.9039548022598871,354,160,0.4814285714285715
OCTDL-novel-class,4,20,missed_disease,0.288135593220339,0.14285714285714285,2.3220338983050848,354,252,0.5871428571428572
OCTDL-novel-class,5,20,missed_disease,0.384180790960452,0.16055045871559634,2.361581920903955,354,218,0.5971428571428572
OCTDL-novel-class,B2,20,missed_disease,0.6610169491525424,0.13333333333333333,1.5649717514124293,354,120,0.3957142857142857
