source,condition,coverage,risk
RETOUCH-Spectralis,2,0.48,0.0
RETOUCH-Spectralis,2,0.49,0.0
RETOUCH-Spectralis,2,0.5,0.0
RETOUCH-Spectralis,2,0.51,0.0
RETOUCH-Spectralis,2,0.52,0.0
RETOUCH-Spectralis,2,0.53,0.0
RETOUCH-Spectralis,2,0.54,0.0
RETOUCH-Spectralis,2,0.55,0.0
RETOUCH-Spectralis,2,0.56,0.0
RETOUCH-Spectralis,2,0.5700000000000001,0.0
RETOUCH-Spectralis,2,0.58,0.0
RETOUCH-Spectralis,2,0.59,0.0
RETOUCH-Spectralis,2,0.6,0.0
RETOUCH-Spectralis,2,0.61,0.0
RETOUCH-Spectralis,2,0.62,0.0
RETOUCH-Spectralis,2,0.63,0.0
RETOUCH-Spectralis,2,0.64,0.0
RETOUCH-Spectralis,2,0.65,0.0
RETOUCH-Spectralis,2,0.66,0.0
RETOUCH-Spectralis,2,0.67,0.0043641541674577615
RETOUCH-Spectralis,2,0.68,0.004299985200532759
RETOUCH-Spectralis,2,0.6900000000000001,0.004237648755860068
RETOUCH-Spectralis,2,0.7000000000000001,0.004177126917712658
RETOUCH-Spectralis,2,0.71,0.004118287249600363
RETOUCH-Spectralis,2,0.72,0.004061090813337267
RETOUCH-Spectralis,2,0.73,0.004005461847389578
RETOUCH-Spectralis,2,0.74,0.003951324266284875
RETOUCH-Spectralis,2,0.75,0.003898650291828787
RETOUCH-Spectralis,2,0.76,0.007385803385803424
RETOUCH-Spectralis,2,0.77,0.007594768982601649
RETOUCH-Spectralis,2,0.78,0.007497395173326602
RETOUCH-Spectralis,2,0.79,0.011103731037310334
RETOUCH-Spectralis,2,0.8,0.010964947461297836
RETOUCH-Spectralis,2,0.81,0.010829545749681885
RETOUCH-Spectralis,2,0.8200000000000001,0.010697508896797115
RETOUCH-Spectralis,2,0.8300000000000001,0.010568605982182832
RETOUCH-Spectralis,2,0.84,0.01044279907084786
RETOUCH-Spectralis,2,0.85,0.010319943121222874
RETOUCH-Spectralis,2,0.86,0.010199930819785546
RETOUCH-Spectralis,2,0.87,0.010082706257202903
RETOUCH-Spectralis,2,0.88,0.013157475083056426
RETOUCH-Spectralis,2,0.89,0.01314150129421916
RETOUCH-Spectralis,2,0.9,0.012995473581792804
RETOUCH-Spectralis,2,0.91,0.01285266716134881
RETOUCH-Spectralis,2,0.92,0.015891214235163313
RETOUCH-Spectralis,2,0.93,0.015720313085309825
RETOUCH-Spectralis,2,0.9400000000000001,0.01555310462258856
RETOUCH-Spectralis,2,0.9500000000000001,0.015389363722697003
RETOUCH-Spectralis,2,0.96,0.015229075543035066
RETOUCH-Spectralis,2,0.97,0.015072070760382892
RETOUCH-Spectralis,2,0.98,0.01491826581378823
RETOUCH-Spectralis,2,0.99,0.014767590022865698
RETOUCH-Spectralis,2,1.0,0.014619883040935644
RETOUCH-Spectralis,3,0.0,0.0
RETOUCH-Spectralis,3,0.01,0.0
RETOUCH-Spectralis,3,0.02,0.0
RETOUCH-Spectralis,3,0.03,0.0
RETOUCH-Spectralis,3,0.04,0.0
RETOUCH-Spectralis,3,0.05,0.0
RETOUCH-Spectralis,3,0.06,0.0
RETOUCH-Spectralis,3,0.07,0.0
RETOUCH-Spectralis,3,0.08,0.0
RETOUCH-Spectralis,3,0.09,0.0
RETOUCH-Spectralis,3,0.1,0.0
RETOUCH-Spectralis,3,0.11,0.0
RETOUCH-Spectralis,3,0.12,0.0
RETOUCH-Spectralis,3,0.13,0.0
RETOUCH-Spectralis,3,0.14,0.0
RETOUCH-Spectralis,3,0.15,0.0
RETOUCH-Spectralis,3,0.16,0.0
RETOUCH-Spectralis,3,0.17,0.0
RETOUCH-Spectralis,3,0.18,0.0
RETOUCH-Spectralis,3,0.19,0.0
RETOUCH-Spectralis,3,0.2,0.0
RETOUCH-Spectralis,3,0.21,0.0
RETOUCH-Spectralis,3,0.22,0.0
RETOUCH-Spectralis,3,0.23,0.0
